
KMD VirtualArray (VA) Functions (Testdriver), Version 0.1.0
MOD[va.c] VER[0.1.0 Pre] DAT[92/07/10] DEV[ad dec]
Copyright (c) KommuneData I/S 1992

Creating VA-file[./VA/va.key] :
Opening VA-file[va.key], mode[RO] :
	Read  VA-header: dwArSize[9999], dwArUsed[5003], wArElSize[8], cFill[ ]

Index Keyrecords:	Size=[9999],	Used=[5003]

Index Loadfactor:	Load=[50]

Accessing 10000 elements...
	ACCESSING :	Array[   0] =    0
	NOTFOUND  :	Array[   1] = 18446744073709551615
	ACCESSING :	Array[   2] =    2
	NOTFOUND  :	Array[   3] = 18446744073709551615
	ACCESSING :	Array[   4] =    4
	ACCESSING :	Array[   5] =  105
	ACCESSING :	Array[   6] =    6
	ACCESSING :	Array[   7] =  107
	ACCESSING :	Array[   8] =    8
	ACCESSING :	Array[   9] =  109
	ACCESSING :	Array[  10] =  110
	ACCESSING :	Array[  11] =  111
	ACCESSING :	Array[  12] =  112
	ACCESSING :	Array[  13] =  113
	ACCESSING :	Array[  14] =  114
	NOTFOUND  :	Array[  15] = 18446744073709551615
	NOTFOUND  :	Array[  16] = 18446744073709551615
	NOTFOUND  :	Array[  17] = 18446744073709551615
	NOTFOUND  :	Array[  18] = 18446744073709551615
	NOTFOUND  :	Array[  19] = 18446744073709551615
	ACCESSING :	Array[  20] =   20
	NOTFOUND  :	Array[  21] = 18446744073709551615
	ACCESSING :	Array[  22] =   22
	NOTFOUND  :	Array[  23] = 18446744073709551615
	ACCESSING :	Array[  24] =   24
	NOTFOUND  :	Array[  25] = 18446744073709551615
	ACCESSING :	Array[  26] =   26
	NOTFOUND  :	Array[  27] = 18446744073709551615
	ACCESSING :	Array[  28] =   28
	NOTFOUND  :	Array[  29] = 18446744073709551615
	ACCESSING :	Array[  30] =   30
	NOTFOUND  :	Array[  31] = 18446744073709551615
	ACCESSING :	Array[  32] =   32
	NOTFOUND  :	Array[  33] = 18446744073709551615
	ACCESSING :	Array[  34] =   34
	NOTFOUND  :	Array[  35] = 18446744073709551615
	ACCESSING :	Array[  36] =   36
	NOTFOUND  :	Array[  37] = 18446744073709551615
	ACCESSING :	Array[  38] =   38
	NOTFOUND  :	Array[  39] = 18446744073709551615
	ACCESSING :	Array[  40] =   40
	NOTFOUND  :	Array[  41] = 18446744073709551615
	ACCESSING :	Array[  42] =   42
	NOTFOUND  :	Array[  43] = 18446744073709551615
	ACCESSING :	Array[  44] =   44
	NOTFOUND  :	Array[  45] = 18446744073709551615
